"gene","predicted_probability","aging_effect","external_gene_source","ensembl_gene_id","gene_biotype","description"
"HLH-2",0.942,"pro_longevity","WormBase Locus","WBGene00001949","protein_coding","Helix Loop Helix  [Source:UniProtKB/TrEMBL;Acc:G5EEG9]"
"NPP-20",0.939,"pro_longevity","WormBase Locus","WBGene00003806","protein_coding","Protein SEC13 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q9N4A7]"
"HMP-2",0.916,"pro_longevity","WormBase Locus","WBGene00001979","protein_coding","Beta-catenin-like protein hmp-2  [Source:UniProtKB/Swiss-Prot;Acc:O44326]"
"KGB-1",0.909,"pro_longevity","WormBase Locus","WBGene00002187","protein_coding","GLH-binding kinase 1  [Source:UniProtKB/Swiss-Prot;Acc:O44408]"
"NPP-13",0.908,"pro_longevity","WormBase Locus","WBGene00003799","protein_coding","Nuclear pore protein  [Source:UniProtKB/TrEMBL;Acc:Q9BKT9]"
"DCS-1",0.905,"pro_longevity","WormBase Locus","WBGene00000940","protein_coding","m7GpppX diphosphatase  [Source:UniProtKB/Swiss-Prot;Acc:G5EFS4]"
"APR-1",0.903,"pro_longevity","WormBase Locus","WBGene00000156","protein_coding","Adenomatous polyposis coli protein-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q21227]"
"UNC-51",0.892,"pro_longevity","WormBase Locus","WBGene00006786","protein_coding","Serine/threonine-protein kinase unc-51  [Source:UniProtKB/Swiss-Prot;Acc:Q23023]"
"EMO-1",0.891,"pro_longevity","WormBase Locus","WBGene00001303","protein_coding","Protein transport protein Sec61 subunit gamma  [Source:UniProtKB/Swiss-Prot;Acc:Q19967]"
"PAS-1",0.891,"pro_longevity","WormBase Locus","WBGene00003922","protein_coding","Proteasome subunit alpha type-6  [Source:UniProtKB/Swiss-Prot;Acc:O17586]"
"DAF-11",0.994,"anti_longevity","WormBase Locus","WBGene00000907","protein_coding","Receptor-type guanylate cyclase daf-11  [Source:UniProtKB/Swiss-Prot;Acc:Q8I4N4]"
"RPS-27",0.986,"anti_longevity","WormBase Locus","WBGene00004496","protein_coding","40S ribosomal protein S27  [Source:UniProtKB/Swiss-Prot;Acc:Q9TXP0]"
"RPL-37",0.985,"anti_longevity","WormBase Locus","WBGene00004451","protein_coding","60S ribosomal protein L37  [Source:UniProtKB/Swiss-Prot;Acc:P49622]"
"W01D2.1",0.985,"anti_longevity","WormBase Gene Sequence-name","WBGene00012179","protein_coding","Ribosomal protein L37  [Source:UniProtKB/TrEMBL;Acc:O62388]"
"RPL-43",0.985,"anti_longevity","WormBase Locus","WBGene00004456","protein_coding","60S ribosomal protein L37a  [Source:UniProtKB/Swiss-Prot;Acc:Q9U2A8]"
"MRPL-18",0.985,"anti_longevity","WormBase Locus","WBGene00017044","protein_coding","39S ribosomal protein L18, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34378]"
"MRPL-19",0.985,"anti_longevity","WormBase Locus","WBGene00022470","protein_coding","Probable 39S ribosomal protein L19, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q95Y83]"
"MRPL-23",0.985,"anti_longevity","WormBase Locus","WBGene00020348","protein_coding","Probable 39S ribosomal protein L23, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q9GYS9]"
"MRPL-49",0.985,"anti_longevity","WormBase Locus","WBGene00011247","protein_coding","Probable 39S ribosomal protein L49, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q21939]"
"MRPS-14",0.985,"anti_longevity","WormBase Locus","WBGene00011334","protein_coding","Probable 40S ribosomal protein S14, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P49391]"
