"gene","predicted_probability","aging_effect","external_gene_source","ensembl_gene_id","gene_biotype","description"
"SIR2",0.833,"pro_longevity","SGD gene name","YDL042C","protein_coding","Conserved NAD+ dependent histone deacetylase of the Sirtuin family; involved in regulation of lifespan; plays roles in silencing at HML, HMR, telomeres, and the rDNA locus; negatively regulates initiation of DNA replication; functions as a regulator of autophagy like mammalian homolog SIRT1, and also of mitophagy; SIR2 has a paralog, HST1, that arose from the whole genome duplication [Source:SGD;Acc:S000002200]"
"DNL4",0.774,"pro_longevity","SGD gene name","YOR005C","protein_coding","DNA ligase required for nonhomologous end-joining (NHEJ); forms stable heterodimer with required cofactor Lif1p, interacts with Nej1p; involved in meiosis, not essential for vegetative growth [Source:SGD;Acc:S000005531]"
"MCM5",0.753,"pro_longevity","SGD gene name","YLR274W","protein_coding","Component of the Mcm2-7 hexameric helicase complex; MCM complex is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase [Source:SGD;Acc:S000004264]"
"DOC1",0.702,"pro_longevity","SGD gene name","YGL240W","protein_coding","Processivity factor; required for the ubiquitination activity of the anaphase promoting complex (APC), mediates the activity of the APC by contributing to substrate recognition; involved in cyclin proteolysis; contains a conserved DOC1 homology domain [Source:SGD;Acc:S000003209]"
"POR1",0.7,"pro_longevity","SGD gene name","YNL055C","protein_coding","Mitochondrial porin (voltage-dependent anion channel); outer membrane protein required for maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; couples the glutathione pools of the intermembrane space (IMS) and the cytosol; phosphorylated; protein abundance increases in response to DNA replication stress; POR1 has a paralog, POR2, that arose from the whole genome duplication [Source:SGD;Acc:S000005000]"
"NTG1",0.691,"pro_longevity","SGD gene name","YAL015C","protein_coding","DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication [Source:SGD;Acc:S000000013]"
"ESP1",0.648,"pro_longevity","SGD gene name","YGR098C","protein_coding","Separase, a caspase-like cysteine protease; promotes sister chromatid separation by mediating dissociation of the cohesin Scc1p from chromatin; inhibits protein phosphatase 2A-Cdc55p to promote mitotic exit; inhibited by Pds1p; relative distribution to the nucleus increases upon DNA replication stress [Source:SGD;Acc:S000003330]"
"OYE2",0.635,"pro_longevity","SGD gene name","YHR179W","protein_coding","Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN); responsible for geraniol reduction into citronellol during fermentation; homologous to Oye3p with different ligand binding and catalytic properties; may be involved in sterol metabolism, oxidative stress response, and programmed cell death; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001222]"
"EXO1",0.629,"pro_longevity","SGD gene name","YOR033C","protein_coding","5'-3' exonuclease and flap-endonuclease; involved in recombination, double-strand break repair, MMS2 error-free branch of the post replication (PRR) pathway and DNA mismatch repair; role in telomere maintenance; member of the Rad2p nuclease family, with conserved N and I nuclease domains; relative distribution to the nucleus increases upon DNA replication stress; EXO1 has a paralog, DIN7, that arose from the whole genome duplication [Source:SGD;Acc:S000005559]"
"MCD1",0.601,"pro_longevity","SGD gene name","YDL003W","protein_coding","Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis and meiosis; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase [Source:SGD;Acc:S000002161]"
