"gene","predicted_probability","aging_effect","external_gene_source","ensembl_gene_id","gene_biotype","description"
"CLEC-196",0.868,"pro_longevity","WormBase Locus","WBGene00009156","protein_coding","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:Q9XVT9]"
"F44E5.4",0.866,"pro_longevity","WormBase Gene Sequence-name","WBGene00009691","protein_coding",""
"CEH-13",0.859,"pro_longevity","WormBase Locus","WBGene00000437","protein_coding","Homeobox protein ceh-13  [Source:UniProtKB/Swiss-Prot;Acc:P17488]"
"LPR-3",0.853,"pro_longevity","WormBase Locus","WBGene00012261","protein_coding","LiPocalin-Related protein  [Source:UniProtKB/TrEMBL;Acc:G5EEA2]"
"HIL-7",0.845,"pro_longevity","WormBase Locus","WBGene00001858","protein_coding","HIstone H1 Like; Histone H1.Q  [Source:UniProtKB/TrEMBL;Acc:Q9U3W3]"
"W04A8.4",0.836,"pro_longevity","WormBase Gene Sequence-name","WBGene00012239","protein_coding",""
"TTH-1",0.816,"pro_longevity","WormBase Locus","WBGene00006649","protein_coding","Thymosin beta  [Source:UniProtKB/Swiss-Prot;Acc:O17389]"
"GST-1",0.814,"pro_longevity","WormBase Locus","WBGene00001749","protein_coding","Glutathione S-transferase P  [Source:UniProtKB/Swiss-Prot;Acc:P10299]"
"F44E5.5",0.812,"pro_longevity","WormBase Gene Sequence-name","WBGene00009692","protein_coding",""
"F20C5.6",0.807,"pro_longevity","WormBase Gene Sequence-name","WBGene00008971","protein_coding",""
"RPL-34",0.986,"anti_longevity","WormBase Locus","WBGene00004448","protein_coding","Ribosomal Protein, Large subunit  [Source:UniProtKB/TrEMBL;Acc:A3QMC5]"
"MSP-59",0.985,"anti_longevity","WormBase Locus","WBGene00003452","protein_coding","Major sperm protein 19/31/40/45/50/51/53/59/61/65/81/113/142  [Source:UniProtKB/Swiss-Prot;Acc:P53017]"
"Y59E9AR.7",0.982,"anti_longevity","WormBase Gene Sequence-name","WBGene00022002","protein_coding","Major sperm protein  [Source:UniProtKB/TrEMBL;Acc:G5EBJ8]"
"RPL-39",0.982,"anti_longevity","WormBase Locus","WBGene00004453","protein_coding","60S ribosomal protein L39  [Source:UniProtKB/Swiss-Prot;Acc:P52814]"
"MSP-57",0.981,"anti_longevity","WormBase Locus","WBGene00003450","protein_coding","Major sperm protein 55/57  [Source:UniProtKB/Swiss-Prot;Acc:Q17856]"
"MSP-81",0.981,"anti_longevity","WormBase Locus","WBGene00003467","protein_coding","Major sperm protein 19/31/40/45/50/51/53/59/61/65/81/113/142  [Source:UniProtKB/Swiss-Prot;Acc:P53017]"
"MSP-113",0.979,"anti_longevity","WormBase Locus","WBGene00003468","protein_coding","Major sperm protein 19/31/40/45/50/51/53/59/61/65/81/113/142  [Source:UniProtKB/Swiss-Prot;Acc:P53017]"
"MSP-19",0.978,"anti_longevity","WormBase Locus","WBGene00003426","protein_coding","Major sperm protein 19/31/40/45/50/51/53/59/61/65/81/113/142  [Source:UniProtKB/Swiss-Prot;Acc:P53017]"
"NLP-27",0.977,"anti_longevity","WormBase Locus","WBGene00003765","protein_coding","Neuropeptide-Like Protein  [Source:UniProtKB/TrEMBL;Acc:O44666]"
"RPL-11.1",0.977,"anti_longevity","WormBase Locus","WBGene00004422","protein_coding","60S ribosomal protein L11-1  [Source:UniProtKB/Swiss-Prot;Acc:Q94300]"
